	param_model_config__colsample_bytree	param_model_config__gamma	param_model_config__learning_rate	param_model_config__min_child_weight	param_model_config__n_estimators	param_model_config__reg_alpha	param_model_config__reg_lambda	param_model_conifg__max_depth	param_selector_config__threshold	param_selector_estimator_config__alpha	param_selector_estimator_config__l1_ratio	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
55	0.6286752215183168	2.326717609125636	0.010529327724412832	5.779201739904375	277	1.9590116555304515	0.08093674839925537	2	mean	0.3004371211776405	0.011364722478456815	-48.270782	-3111.6084	-25.606222	-93.00722	-38.461834	-663.3909	1368.8303	66
56	0.9172304377525996	0.6319144886124639	0.024699177895114943	1.3096159515202745	298	35.26476591442526	0.03652783630072774	8	1.5*mean	0.4617336666663253	0.051593121057717385	-52.0752	-3112.0251	-26.231752	-94.05638	-42.685207	-665.41473	1367.9259	148
57	0.9569336063411155	1.3912670495953199	0.07155758559610957	1.8779494281062599	116	0.04043467086574883	0.011335578332491875	4	0.5*median	0.31211018914621824	0.03136030009321452	-44.83878	-3111.2458	-24.548473	-92.9526	-39.236122	-662.5644	1369.0951	24
58	0.9088948389826336	3.448988649764559	0.013304095230599491	5.9329302645373	116	23.168348525573926	0.01001576232052661	5	0.5*mean	0.41951192815038774	0.07789909394141997	-51.586617	-3111.984	-25.88028	-93.93191	-42.375145	-665.1516	1368.0516	140
59	0.9119359491825589	3.8408377229884834	0.015623240814605132	3.5183041619776327	121	0.08768856735316426	11.949118755942127	4	0.5*median	0.5657446545978815	0.3227717002602378	-49.9546	-3111.9229	-25.86413	-93.6001	-41.57757	-664.58386	1368.3347	130
60	0.7090090770908356	3.7862469607323526	0.02502369666763137	1.4373607253880551	107	0.3375118846788518	0.033654275457506204	10	1.5*mean	0.2622809505732698	0.06260269763532085	-49.964325	-3111.5828	-26.02005	-93.13429	-38.725143	-663.8853	1368.5372	105
61	0.642406511494549	4.921849666407502	0.02599767369182892	3.222652183891929	110	0.08676779935858035	0.18364029503579832	2	0.5*median	0.43444642108768516	0.028189481224864824	-47.324577	-3111.542	-25.533495	-93.07355	-37.987377	-663.09216	1368.9625	48
62	0.7796076783759881	4.292241977852808	0.010023541935340333	9.931544798090352	392	0.030399789134613945	0.03814149089658956	5	0.5*median	0.2632527844710455	0.22941212148922477	-46.91425	-3111.6294	-25.496412	-93.367325	-34.59625	-662.40076	1369.4094	16
63	0.8030031672027529	2.6209939278137524	0.015517523619658555	4.743690152148893	126	0.027680296634542183	2.1271894751437244	7	1.5*mean	0.24816105877913044	0.46085961627001854	-48.211834	-3111.6277	-25.966328	-93.04044	-40.320694	-663.83344	1368.5881	100
64	0.9323859522707385	2.606725065001406	0.057249778668111546	6.210522359382067	299	0.502897985455227	6.287193832403454	8	1.5*mean	0.3075220054284782	0.046027151584551694	-47.58413	-3111.8042	-25.726171	-92.83734	-37.818882	-663.1542	1369.072	57
65	0.6604873860756567	3.1888298224080156	0.039013229965267425	9.245373181387794	231	0.07102783221129738	0.07876116198282052	3	median	0.4033170635356761	0.01040753027023369	-46.65865	-3111.6345	-25.791973	-93.29331	-36.445343	-662.7648	1369.2021	35
66	0.8519532210613009	2.035073270507033	0.14449603902961877	7.721623310350826	161	7.499901633717673	0.1136579418629454	8	1.5*mean	0.21539681825071286	0.29709712252748793	-46.890575	-3111.6797	-25.903246	-93.54918	-39.889034	-663.58234	1368.7637	77
67	0.6616870351576705	2.8014656095708053	0.05651234528407655	8.325415710508242	358	2.997508024875897	0.03862513167111199	7	1.5*mean	0.22893532325011332	0.045342092734514214	-46.542397	-3111.701	-25.607708	-93.32394	-38.568462	-663.1487	1369.0208	55
68	0.8671082736764644	4.841603850942191	0.23219354955588262	3.6553193531978625	122	12.13819201991156	0.03224627713686076	2	1.5*mean	0.2701281961959899	0.17585770481756977	-51.632267	-3111.8755	-26.26213	-93.70354	-39.981987	-664.6911	1368.25	133
69	0.6323721530032094	2.709125716072942	0.09377992971855942	2.8875074081770102	194	1.08721781968316	1.5217267133054868	4	0.5*mean	0.33459493117753664	0.49947804526668016	-48.1066	-3111.7615	-26.124031	-92.686745	-40.218166	-663.7794	1368.69	96
70	0.7289739772524871	3.948244696487402	0.01985218032506186	5.150745671082271	247	0.09816087946325	4.6177531776977085	7	mean	0.48080368453259403	0.23518492021158965	-47.988995	-3111.7334	-25.62003	-93.061646	-38.03305	-663.2875	1368.9595	63
71	0.9543846797869582	1.69798449684628	0.1667386030004274	5.6798036704300126	312	0.04367113116530634	6.72471595926682	8	1.5*median	0.41748876738472307	0.011903738298393397	-47.58183	-3111.6157	-25.817144	-92.96076	-40.486523	-663.6924	1368.6604	87
72	0.7565024202132835	2.898690065899791	0.09128855739216808	2.4206748022768196	374	1.3511221872592079	10.682143385329192	6	0.5*median	0.3886335044907223	0.36182876640218575	-47.20951	-3111.8015	-25.64552	-93.05693	-40.423893	-663.62744	1368.8025	80
73	0.7628506835564974	1.3725354891782366	0.036364135891422955	3.3140010807447844	116	5.004812440915601	18.79783522726968	4	1.5*mean	0.21251776375371786	0.17394998021413102	-49.890198	-3111.5989	-25.709686	-93.38512	-40.183624	-664.15344	1368.3962	115
74	0.9122539294804368	1.52599176552043	0.017739027982285358	4.248528656400959	305	3.061789389116515	2.258097576283802	10	mean	0.22738054309119968	0.07315561925557253	-48.64433	-3111.6575	-25.564945	-93.1686	-37.865105	-663.38007	1368.8663	65
75	0.8524782445484698	1.4735656962525716	0.014108564532349157	7.852710245335439	283	0.02028907908498734	27.899691769321947	10	mean	0.4340210454375037	0.38510825504719504	-48.75166	-3111.7542	-25.620794	-93.447334	-39.78706	-663.8722	1368.6427	103
76	0.9076035995123527	4.9375108538487344	0.2405919483973134	5.099801310856512	185	12.245391121463795	0.01663172139596428	3	1.5*mean	0.2925149000418442	0.024191697253041336	-49.86893	-3111.9104	-25.70087	-93.74333	-40.946648	-664.434	1368.4147	125
77	0.8042130584045781	0.9816388178309606	0.10893415461222923	3.8056065972961073	309	0.01573949398096938	5.311678186864503	2	1.5*mean	0.2202374079074691	0.17159600527748703	-44.998787	-3111.4563	-28.73167	-90.62837	-39.41627	-663.04626	1368.9071	44
78	0.687995737771494	2.063781834390361	0.15281154587864446	8.560986268239745	159	0.49806171611396655	13.373319820143255	7	1.5*mean	0.5198132885256674	0.08429060395347555	-48.228535	-3111.569	-25.536572	-93.15028	-39.903614	-663.6776	1368.6462	86
79	0.9302200850000384	2.114050493257197	0.07133162529711515	9.127618531853216	221	3.393612078658473	0.11355110336859019	10	1.5*median	0.32248720917759377	0.019574697761307908	-44.43008	-3111.7517	-25.626173	-93.07751	-39.562386	-662.8896	1369.1918	40
80	0.918683789608607	4.298515449621459	0.027684053799810843	7.594023305520574	147	11.416533623567334	0.6753938491331769	6	median	0.38194820526383944	0.1954809119639978	-50.35736	-3111.8623	-25.882137	-93.662735	-41.113884	-664.5757	1368.3065	129
81	0.6921466366911442	0.3522848376415918	0.011051700952848735	2.4428416703357785	184	0.11057381249885453	1.8086786052371573	6	1.5*median	0.27345992403446556	0.02766935233698379	-48.909092	-3111.7764	-26.022392	-93.25325	-40.791733	-664.1506	1368.4938	114
82	0.9696837669035498	2.9503351496888865	0.0897411964750334	4.3379161107603075	335	0.09920102438286668	0.2839175963683567	9	median	0.23890867570278426	0.1094110344310297	-49.68083	-3111.2688	-26.442894	-93.217514	-34.980995	-663.1182	1368.7993	50
83	0.989782898727824	1.4397592662735574	0.05127164302457431	2.058744383170587	287	28.611923672782904	1.1651838298184478	9	mean	0.5807896062849335	0.16450945181092708	-51.74641	-3112.0134	-26.126755	-93.96824	-42.280216	-665.227	1368.025	144
84	0.7405431832582456	3.3630328992146605	0.12850491563514443	2.744790094228073	230	0.024517619565603735	33.00874204623053	10	1.5*median	0.30301915686344444	0.21024439336123973	-47.70361	-3111.7717	-25.21336	-92.98487	-39.816944	-663.4981	1368.8607	72
85	0.7025890495348983	0.8175394793209068	0.024058969641666334	7.0527778281176365	222	1.4821935979844005	0.23048979055890131	5	0.5*mean	0.23782853747845367	0.20651208520247832	-46.257122	-3111.4	-25.34843	-93.19363	-34.922188	-662.22424	1369.3788	8
86	0.9695650263221475	1.6648601669663612	0.03338933922956651	6.382767159750877	316	11.53241464989147	0.23682358296150435	5	median	0.5397783482508954	0.05561226605506977	-49.41389	-3111.9065	-25.980116	-93.512054	-41.578903	-664.4783	1368.3837	126
87	0.9291081741189159	2.780675751059229	0.01887189872995084	3.571631551043933	270	1.1055737691134677	9.272490070015529	7	1.5*median	0.3490799928339757	0.20083009326382156	-47.622715	-3111.75	-25.619263	-92.96026	-40.7031	-663.7311	1368.7144	90
